song_id,true_label,true_class,pred_label,pred_class,correct,max_confidence,entropy,is_borderline,prob_happy,prob_calm,prob_tense,prob_sad,high_confidence,high_confidence_error,high_confidence_0_8,high_confidence_error_0_8,high_confidence_0_9,high_confidence_error_0_9
1962,0,happy,0,happy,1,0.5453021804491679,1.0413392598924534,True,0.5453021804491679,0.0107996487514659,0.2596840446194013,0.1842141356319189,False,False,False,False,False,False
1957,0,happy,2,tense,0,0.7653895060221354,0.5789605757099029,True,0.2275756572683652,0.0008401569113933,0.7653895060221354,0.0061946779082063,True,True,False,False,False,False
1553,0,happy,0,happy,1,0.9625394960244495,0.1718020119883028,False,0.9625394960244495,0.0030404744401797,0.0341730951176335,0.000246928225359,True,False,True,False,True,False
2058,2,tense,0,happy,0,0.5607323537270228,1.1040837058650146,False,0.5607323537270228,0.0787607777242859,0.0988220562537511,0.261684795965751,False,False,False,False,False,False
1194,3,sad,3,sad,1,0.847630916039149,0.5749398260641708,False,0.0273484186269342,0.0874373659491539,0.0375833016044149,0.847630916039149,True,False,True,False,False,False
503,0,happy,0,happy,1,0.984319810072581,0.0975166588689974,False,0.984319810072581,0.0065301275457992,0.0036511039636025,0.0054989644205609,True,False,True,False,True,False
1123,3,sad,0,happy,0,0.4775526231775681,1.221675289711219,True,0.4775526231775681,0.1518908111999432,0.2720258581141631,0.0985306916137536,False,False,False,False,False,False
1000,0,happy,0,happy,1,0.7900475511948267,0.592362100808983,False,0.7900475511948267,0.0093883281457237,0.190432211694618,0.0101319026308677,True,False,False,False,False,False
1687,0,happy,0,happy,1,0.8327154989043871,0.5416655846011379,False,0.8327154989043871,0.0034332720386601,0.1368235375111301,0.0270276914632025,True,False,True,False,False,False
161,2,tense,3,sad,0,0.6624663253625234,0.9076235437791016,False,0.0536408510369559,0.0428357941564172,0.2410570309186975,0.6624663253625234,False,False,False,False,False,False
1737,2,tense,2,tense,1,0.5373029400904973,1.1095912296341692,True,0.1009188461427887,0.0691788355198999,0.5373029400904973,0.2925993800163269,False,False,False,False,False,False
1205,0,happy,0,happy,1,0.9620155811309814,0.1694806239609464,False,0.9620155811309814,0.0012746385204081,0.0362624667895336,0.0004473072945984,True,False,True,False,True,False
1369,0,happy,0,happy,1,0.9823615610599518,0.0905385104862713,False,0.9823615610599518,0.0002597491525781,0.0173033951801092,7.52873764800673e-05,True,False,True,False,True,False
1099,0,happy,0,happy,1,0.9742423534393312,0.1315058814170962,False,0.9742423534393312,0.0039167826490787,0.0216991250461433,0.0001417364677024,True,False,True,False,True,False
1778,1,calm,3,sad,0,0.6030770599842071,1.0108881092583422,True,0.1588859989618261,0.2166362721472978,0.0214006732062747,0.6030770599842071,False,False,False,False,False,False
493,3,sad,2,tense,0,0.8468303620815277,0.51431536979051,True,0.0336770253391781,0.1185575418795148,0.8468303620815277,0.0009350593288634,True,True,True,True,False,False
787,0,happy,0,happy,1,0.6266176258524259,0.7562975821824293,False,0.6266176258524259,0.0157160411123186,0.3516854626437028,0.0059808697920137,False,False,False,False,False,False
1023,3,sad,3,sad,1,0.4968275139729182,1.2253078847094816,False,0.1109382333233952,0.2277500209709008,0.1644842373828093,0.4968275139729182,False,False,False,False,False,False
39,0,happy,0,happy,1,0.4804693634311358,0.9639731974850618,False,0.4804693634311358,0.0021364017435795,0.4147671629985173,0.1026270740044613,False,False,False,False,False,False
78,3,sad,3,sad,1,0.966592291990916,0.1528963726996757,False,0.0006564767922251,0.0320805637942006,0.0006706623970558,0.966592291990916,True,False,True,False,True,False
1515,2,tense,0,happy,0,0.5331546674172084,0.7100860942681052,True,0.5331546674172084,0.0003781100219081,0.4638703917463621,0.0025968237702424,False,False,False,False,False,False
1375,0,happy,0,happy,1,0.8995466570059458,0.3344855387529569,False,0.8995466570059458,0.0013186366229395,0.0989438807281355,0.0001908305363106,True,False,True,False,False,False
1484,0,happy,3,sad,0,0.4321087211370468,1.2436366519939226,True,0.3160192574063937,0.1505692182729641,0.1013028066605329,0.4321087211370468,False,False,False,False,False,False
1163,0,happy,0,happy,1,0.5263307144244512,1.0988677329704222,False,0.5263307144244512,0.3183521794776122,0.0819043345438937,0.0734127586086591,False,False,False,False,False,False
1359,2,tense,3,sad,0,0.6739111758768559,0.8500439260232401,True,0.0926077848106312,0.0049822888793035,0.2284987408357362,0.6739111758768559,False,False,False,False,False,False
1817,0,happy,0,happy,1,0.7403065750996272,0.5930342715562313,False,0.7403065750996272,0.0014263088689176,0.2563207703332106,0.0019463404772977,True,False,False,False,False,False
1072,0,happy,0,happy,1,0.953386757771174,0.2215034926114489,False,0.953386757771174,0.0230919187772087,0.0233970042589741,0.0001243356505843,True,False,True,False,True,False
1239,0,happy,0,happy,1,0.9667008717854818,0.1486958450651741,False,0.9667008717854818,0.0003106301690801,0.0328483923066717,0.0001401087649606,True,False,True,False,True,False
356,0,happy,0,happy,1,0.6935876979337384,0.8284589991943445,True,0.6935876979337384,0.1598854359481872,1.5953430731761752e-05,0.1465109182048157,False,False,False,False,False,False
486,0,happy,0,happy,1,0.327974629898866,1.36741385938524,False,0.327974629898866,0.196520006035765,0.2221111067881186,0.2533942490816116,False,False,False,False,False,False
733,1,calm,0,happy,0,0.4678468073407809,1.2154423137417691,True,0.4678468073407809,0.2358785567184289,0.228819199775656,0.0674554507558544,False,False,False,False,False,False
960,0,happy,0,happy,1,0.9687713980674744,0.1404208383409477,False,0.9687713980674744,0.0001901779555813,0.031003232387593,3.5187370734601764e-05,True,False,True,False,True,False
1216,0,happy,0,happy,1,0.9557503799597422,0.1923725302618386,False,0.9557503799597422,0.0012637095852066,0.0418044426012784,0.0011814734789368,True,False,True,False,True,False
2011,2,tense,0,happy,0,0.54286035100619,1.1016283589688636,True,0.54286035100619,0.0358228214861204,0.2445466294884681,0.1767702050507068,False,False,False,False,False,False
1758,1,calm,0,happy,0,0.9743576268355052,0.139626657175955,False,0.9743576268355052,0.0124179697498523,0.0125671184738166,0.0006572734220147,True,True,True,True,True,True
2000,0,happy,0,happy,1,0.9933151443799336,0.0468189167980998,False,0.9933151443799336,0.0019322150259843,0.0035761444392846,0.0011765050270999,True,False,True,False,True,False
1004,2,tense,0,happy,0,0.5112623512744904,0.8706817035159389,False,0.5112623512744904,0.0448704707901924,0.4387576967477798,0.0051094799127895,False,False,False,False,False,False
173,3,sad,3,sad,1,0.9911016086737316,0.0571855493783982,True,0.0004307357242699,0.0065045096295458,0.0019631590684487,0.9911016086737316,True,False,True,False,True,False
316,3,sad,3,sad,1,0.3928100715080897,1.223756874327708,False,0.299675781528155,0.2596600281695524,0.047854106221348,0.3928100715080897,False,False,False,False,False,False
1782,0,happy,0,happy,1,0.6149280299743016,0.8849412718592565,True,0.6149280299743016,0.022694479204559,0.319284641991059,0.043092851806432,False,False,False,False,False,False
1833,0,happy,2,tense,0,0.4441203032930692,1.2472855552896192,False,0.2365132557849089,0.081404543792208,0.4441203032930692,0.2379619073122739,False,False,False,False,False,False
1152,0,happy,0,happy,1,0.9041918933391572,0.3944844484491914,False,0.9041918933391572,0.0266738624079152,0.0624145282121996,0.0067197093613989,True,False,True,False,True,False
1458,0,happy,0,happy,1,0.8265443503856659,0.632696619299078,True,0.8265443503856659,0.0330489772682388,0.0434952365855375,0.0969114343946178,True,False,True,False,False,False
666,0,happy,2,tense,0,0.4484218349059423,1.075675407529114,True,0.4005708565314611,0.0228031497448682,0.4484218349059423,0.1282041711111863,False,False,False,False,False,False
1617,0,happy,0,happy,1,0.7835397303104401,0.7070396352057632,False,0.7835397303104401,0.0150958508046945,0.06971074649288,0.1316536703360422,True,False,False,False,False,False
1616,0,happy,0,happy,1,0.9858431200186412,0.0786450364236763,True,0.9858431200186412,0.0008805353342571,0.0130812462380466,0.0001950913175657,True,False,True,False,True,False
73,0,happy,3,sad,0,0.8941677848498026,0.4207093527969208,False,0.028955734691893,0.0059322236619967,0.0709442613025506,0.8941677848498026,True,True,True,True,False,False
524,3,sad,0,happy,0,0.5641592810551326,1.056879583262837,True,0.5641592810551326,0.2560973837971687,0.0273262770380824,0.1524170685559511,False,False,False,False,False,False
1372,0,happy,0,happy,1,0.4917243426044782,0.947773484774064,False,0.4917243426044782,0.0040158412635112,0.4176248027632633,0.0866350216597008,False,False,False,False,False,False
1353,0,happy,0,happy,1,0.979443116982778,0.1113762082299538,False,0.979443116982778,0.0025636153469046,0.017136639682576,0.0008566243023475,True,False,True,False,True,False
1999,0,happy,0,happy,1,0.8797634383042653,0.4221527196610705,False,0.8797634383042653,0.0077137661670955,0.1055625786383946,0.0069602218475968,True,False,True,False,False,False
1631,0,happy,0,happy,1,0.9121432920296988,0.3139096339794596,False,0.9121432920296988,0.0008523793155632,0.0844411636547495,0.0025631686644677,True,False,True,False,True,False
677,0,happy,0,happy,1,0.7884232997894287,0.5727202986780489,False,0.7884232997894287,0.0015613916394916,0.1974888296021769,0.0125264778888473,True,False,False,False,False,False
628,0,happy,0,happy,1,0.658148522178332,0.9816525855425696,False,0.658148522178332,0.1403867337852716,0.1557164952158928,0.0457482477960487,False,False,False,False,False,False
1265,0,happy,0,happy,1,0.9352765758832297,0.2650177377406941,False,0.9352765758832297,0.0031893043662421,0.0583477129849294,0.0031864064895974,True,False,True,False,True,False
1111,2,tense,3,sad,0,0.6060955107212067,0.9894104121157046,True,0.1200123554406066,0.0220891500745589,0.2518029840042193,0.6060955107212067,False,False,False,False,False,False
674,0,happy,0,happy,1,0.2979859088857968,1.368531354740025,False,0.2979859088857968,0.1772368858257929,0.2787803786496321,0.2459968291223049,False,False,False,False,False,False
1556,0,happy,0,happy,1,0.982812076807022,0.0887103117231858,True,0.982812076807022,0.0003735838042302,0.0168115469122615,2.794531386407506e-06,True,False,True,False,True,False
242,3,sad,3,sad,1,0.8614016969998678,0.460062889433136,True,0.0114296940698598,0.123047661781311,0.004120940894063,0.8614016969998678,True,False,True,False,False,False
1377,3,sad,2,tense,0,0.6420893420775732,0.9617440526396724,True,0.2102554060518741,0.0248760683151582,0.6420893420775732,0.1227791818479697,False,False,False,False,False,False
1172,3,sad,3,sad,1,0.8497615436712901,0.4768118383274066,False,0.0063369253238003,0.1370899931838115,0.0068115280291143,0.8497615436712901,True,False,True,False,False,False
1013,2,tense,3,sad,0,0.8822536528110504,0.478898008049624,True,0.0159880353021435,0.0444323590646187,0.0573259626204768,0.8822536528110504,True,True,True,True,False,False
